epoch,train_loss,val_loss,lr
1,0.3776106284501461,0.14098890328949149,0.0001
2,0.11339323694746081,0.08907296491617506,9.990133642141359e-05
3,0.08648734007102366,0.07538490132852034,9.96057350657239e-05
4,0.07481118942109438,0.07382310627762115,9.911436253643444e-05
5,0.06569493791231742,0.0671122188143658,9.842915805643155e-05
6,0.05721716149710119,0.05986264954800859,9.755282581475769e-05
7,0.05068814237781156,0.047604439300343845,9.648882429441257e-05
8,0.046648362995340274,0.0484888121259935,9.524135262330098e-05
9,0.04193597646931616,0.04803848046470772,9.381533400219317e-05
10,0.04075537333623148,0.04852122758430513,9.221639627510075e-05
11,0.038203325749446564,0.045994456970330444,9.045084971874735e-05
12,0.03463460534381179,0.05082082785101551,8.852566213878945e-05
13,0.03396778758794356,0.05180557097562335,8.644843137107056e-05
14,0.034379775521273796,0.044188877807535006,8.422735529643442e-05
15,0.03087820211568704,0.046038985097159944,8.187119948743447e-05
16,0.03143428669024546,0.047630428477670204,7.938926261462366e-05
17,0.03219912074900304,0.039764101786369625,7.679133974894982e-05
18,0.02857758299125215,0.04428475932923682,7.408768370508575e-05
19,0.02825179809990984,0.04081374357426257,7.128896457825361e-05
20,0.028050272215086106,0.042870640267872,6.840622763423389e-05
21,0.02572929209877307,0.04197355638131161,6.545084971874736e-05
22,0.025628562345026203,0.03923130657693202,6.243449435824272e-05
23,0.02379092326423583,0.04661347492682663,5.9369065729286224e-05
24,0.022526800437257268,0.04675167619786931,5.626666167821521e-05
25,0.022120625228406146,0.041346200734772014,5.3139525976465657e-05
26,0.020723570079112855,0.04223273005900961,4.999999999999998e-05
27,0.020806743181758347,0.04224110364377724,4.6860474023534314e-05
