epoch,train_loss,val_loss,lr
1,0.1664032148208447,0.14821145435174307,0.0001
2,0.1345472785527121,0.1374280314360346,9.990133642141359e-05
3,0.12788916584438906,0.13153269922449476,9.96057350657239e-05
4,0.12145086150326415,0.12785523384809494,9.911436253643444e-05
5,0.12126180627745782,0.12617603157247817,9.842915805643155e-05
6,0.11941246875745808,0.12734999330270858,9.755282581475769e-05
7,0.11638795927969996,0.1239654663063231,9.648882429441257e-05
8,0.11664879478201895,0.11908921599388123,9.524135262330098e-05
9,0.11552363593956667,0.11989434276308332,9.381533400219317e-05
10,0.11326614263171922,0.12128866996083941,9.221639627510075e-05
11,0.11183229461312294,0.12059052004700616,9.045084971874735e-05
12,0.11176042691497745,0.12010119465135392,8.852566213878945e-05
13,0.11068231603521073,0.1173903966943423,8.644843137107056e-05
14,0.10930870642919026,0.1154251733706111,8.422735529643442e-05
15,0.10827464721873849,0.12295743610177721,8.187119948743447e-05
16,0.10913745478955572,0.1268257913844926,7.938926261462366e-05
17,0.10760497663192406,0.11558224047933306,7.679133974894982e-05
18,0.10664194998537709,0.1251839023260843,7.408768370508575e-05
19,0.10719897722948098,0.11795273955379214,7.128896457825361e-05
