epoch,train_loss,val_loss,lr
1,0.16613580063431563,0.1455503695067905,0.0001
2,0.13344698345768238,0.1340880376242456,9.990133642141359e-05
3,0.12707798432804154,0.12780609052805675,9.96057350657239e-05
4,0.12345042316142671,0.12666499011573337,9.911436253643444e-05
5,0.11977037582211866,0.1219968990910621,9.842915805643155e-05
6,0.11792738267226134,0.12297046574808303,9.755282581475769e-05
7,0.1167345404803396,0.12750077850761868,9.648882429441257e-05
8,0.11463241573579297,0.11829472687982377,9.524135262330098e-05
9,0.11259789666729773,0.12059258066472553,9.381533400219317e-05
10,0.11179758371885665,0.11882826721384412,9.221639627510075e-05
11,0.11298658783564311,0.11766479164361954,9.045084971874735e-05
12,0.11120920003709679,0.1173726696343649,8.852566213878945e-05
13,0.11078390077559534,0.11998835560821351,8.644843137107056e-05
14,0.10905813162555238,0.11603498352425438,8.422735529643442e-05
15,0.10770849910324919,0.12224152222985313,8.187119948743447e-05
16,0.10806243027934058,0.11874382730041232,7.938926261462366e-05
17,0.10650694080277118,0.1341279578350839,7.679133974894982e-05
18,0.10633097930315012,0.11767887998194922,7.408768370508575e-05
19,0.10595162413612812,0.12128421238490514,7.128896457825361e-05
